14/11/2024;21/11/2024;Cirugia;123;1322;
14/11/2024;21/11/2024;Cirugia;14231;124132;
14/11/2024;21/11/2024;Oncologia;132;132;
14/11/2024;21/11/2024;Dermatologia;3123;1321;
14/11/2024;21/11/2024;Dermatologia;43213;1231;
14/11/2024;21/11/2024;Neumologia;3124312;3123;
14/11/2024;21/11/2024;Neumologia;132421;132;
14/11/2024;21/11/2024;Cardiologia;432;123;
14/11/2024;21/11/2024;Cardiologia;3124;3123;
14/11/2024;21/11/2024;MedicinaInterna;4324;342;
14/11/2024;21/11/2024;MedicinaInterna;342;4312;
14/11/2024;21/11/2024;Oncologia;324;23;
